uni,FC_ID,Cohort,C27id,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom1_comments,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom2_comments,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom3_comments,oct_dom4a,oct_dom4_comments,oct_rel_effect,dom1_avg,dom2_avg,dom3_avg,dom4_avg,FDIoct_overall,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,1733,Cohort 27,50065,12x190,11,N/A,Special Education,17-Oct-16,Developing,Developing+,Developing+,,Developing+,Developing+,Effective,,Developing,Developing+,Developing+,,Developing+,,Average,2.666667,3.333333,2.666667,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1798,Cohort 27,50066,M305,10,CTT/ICT,Special Education,30-Oct-16,Developing,Developing,Developing,"Angelina is working with two Math teachers (1 Fellow and 1 Experienced). While she is learning the Algebra content from her co-teachers, she is responsible for the modification of instruction to meet the needs of her Sp. Ed. students. We discussed the need for clear expectations and coherent instructional design, dictated by students’ needs.",Developing,Developing,Developing,Lina is currently leaning on the skill set of her co-teacher to manage the procedures and behavior modification issues. She is beginning to establish herself as a viable classroom presence in the area of student support and classroom management.,Developing,Developing,Developing,"These three areas were topics of great discussion during our visit. Developing higher order thinking questions that lead to rich content based discussions is one of our long range goals. Currently, engagement techniques are work sheets, exit tasks and  note taking. assessment is basically test results. We have discussed formative assessment during the body of the lesson as a valuable technique.",Developing,She is a member of cohort 27 and three of her colleagues are ion the same building. I have encouraged professional opportunities to self-reflect and share ideas re: pedagogy and methodology.,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1785,Cohort 27,50070,M328,7,CTT/ICT,Special Education,13-Oct-16,Effective,Developing+,Developing+,"Georgina is faring remarkably well for a first year Fellow.  She has a handle on curriculum and the presentation of such.  Her lesson was well planned,  employing the use of technology as well as discussion to develop the knowledge of the character trait in literature.  Her lesson was cut short due to an issue requiring her presence,  but I am certain that she is definitely on the right track for the presentation of material to her students. Vocabulary was appropriate, and Georgina urged her students to look back in their written material in order to recall information and formulate new responses.  She also timed her students' planned activities,  keeping them on task.  I am certain that Georgina will become a successful teacher.",Developing+,Effective,Effective,"Georgina's soft spoken presence has won the respect of her students.  They are attentive, cooperative and participatory in discussion as well as written work.  I was impressed with her style and recommended that another Fellow in her school sit in on her class to clarify acceptable presentation.",Developing+,Developing+,,"Due to the brevity of her lesson (because she was called out of the room), Georgina did not have a chance to make a final assessment of her students. I will concentrate on assessments with Georgina's lessons in the future.",Developing+,"Georgina was humble and apologetic concerning the cutting short of her lesson.  This is a woman who plans thoughtfully, and I'm sure is reflective about delivery of her lessons. ",Above Average,3.333333,3.666667,3,3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1712,Cohort 27,50071,K540,9,N/A,Special Education,20-Oct-16,Developing+,Developing,Developing+,,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing,,Developing+,,Above Average,2.666667,3,2.666667,3,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,2066,Cohort 27,50072,13K430,11,N/A,Science,7-Oct-16,Developing,Developing,Developing+,Fellow has advanced knowledge of content.,Developing+,Developing,Developing+,"Fellow had students in groups, helping them to facilitate their own learning.",Developing,Developing,Developing,Fellow needs to establish higher order thinking questions to push student learning further.,Developing,Fellow is reflective.,Above Average,2.333333,2.666667,2,2,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1781,Cohort 27,50074,Q157,7,N/A,Special Education,23-Sep-16,Effective,Developing+,Developing+,,Developing,Developing,Developing,,Developing+,Developing,Developing,,Developing,,Average,3.333333,2,2.333333,2,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1835,Cohort 27,50075,X438,9,,ESL,7-Oct-16,Developing+,Developing,Developing,"Ms. Evans is to improve her lesson time management. Independent collaborative activity was allotted more time than need. For the last 10 minutes of the activity the students' engagement was low and not pertaining to the task. Also, the teacher is to incorporate peer feedback to each group's finished product  (advertisement posters - pathos, ethos, and logos). ",Developing+,Developing,Effective,,Developing+,Developing,Developing+,"We discussed the strategies for the whole class assessment of previously studied concepts, and not only flying with the fast ones or cold calling (eliciting individual responses).",Developing+,,Average,2.333333,3,2.666667,3,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,1853,Cohort 27,50076,K753,10,D75,Special Education – D75,18-Oct-16,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Average,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1856,Cohort 27,50077,X271,8,,ESL,21-Oct-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing+,,Average,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,935,Cohort 27,50079,X97@X188,7,Self-contained,Special Education – D75,28-Sep-16,Developing,Developing,Developing,Candidate has the awareness of prerequisite relationships but knowledge may be incomplete  Instructional goals have high expectations with a need for differentiation,Developing,Developing+,Developing,The culture for learning is characterized by an ongoing commitment to learning  Candidate has a knowledge of some capabilities of his students  Management procedures are effective with some students  Students are aware of the standards of conduct with uneven results,Developing,Developing,Developing,Candidate is aware of instructional approaches which will be effective with this population  Curriculum development with the mentor and coaches will establish learning tasks which will enrich and engage all students  Students will be undergoing extensive assessment   The results of the IEP goals and assessment will  drive instruction,Developing+,We spoke about meeting the needs of this population (autistic) and importance of transitional life skills,Average,2,2.333333,2,3,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1909,Cohort 27,50080,x196,2,CTT/ICT,ESL,28-Sep-16,Developing,Developing,Developing,,Developing+,Developing,Developing,,Developing,Developing,Developing,,Developing+,,Below Average,2,2.333333,2,3,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1831,Cohort 27,50083,X267,11,CTT/ICT,Special Education,17-Oct-16,Developing,Developing,Developing,,Developing+,Effective,Effective,,Developing,Developing+,Developing,,Developing+,,Average,2,3.666667,2.333333,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2004,Cohort 27,50085,12X195,5,N/A,ESL,28-Sep-16,Developing,Developing,Developing,The Math lesson observed was presented to the class as they sat on the carpet. The teacher used a pink color paper taped to the smart board to explain the topic of the lesson and to model an example. The students were unruly and the not engaged.    Suggestion was shared to have students sit at their desks and for the teacher to develop different activities based on his knowledge of student's background knowledge.  Some students were being helped by other students (and not actively supervised) and one non English speaker was left to his own demise with no explanation or follow up. Grouping based on abilities and modeling would lead to more students meeting with success. ,Developing,Ineffective,Developing,"There were 30 students present during the observation of this class. Students were uncooperative for the most part; the teacher resorted to yelling students' names with no result. The teacher indicated that they have come a long way from the first week of school.    Suggestion was made not to sit students in the rug; this practice led to students pushing, talking and disrupting instruction.",Developing,Developing,Ineffective,"The teacher attempted to provide support to students; however, the issue of student behavior and management was too overwhelming for it to be successful.     It was suggested to develop smaller targeted lessons and to group students into manageable groups so that the teacher could provide the instructional support needed. ",Developing,"The teacher has been assigned a full class of ENL students. His responsibilities include teaching all subject areas to a mixed ENL level of students. Based on this fact, he is assigned to an out of compliance position. The teacher receives no other support from the school in order to meet the needs of all his students. The teacher was very open to the suggestions given and indicated that he will continue to work on improving his instructional skills. ",Below Average,2,1.666667,1.666667,2,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,1205,Cohort 27,50087,X267,7,CTT/ICT,Special Education,22-Sep-16,Developing,Developing,Developing,The lesson plan had a clear aim but it needed to be displayed for students throughout the lesson.  The level was appropriate but would benefit from a stronger introduction and summary.  Differentiated approaches will need to be developed as student needs become better known.   ,Developing+,Developing,Developing,Both teachers in this ICT class had a positive approach resulting in a good tone for this lesson.  It will be important to continue establishing positive routines in order to maintain a good tone as the term develops.,Developing,Developing+,Developing,"Good efforts were made to question students during the lesson.  Questions will need  to be refined in order to meet the needs of students who are at varied levels.  Although the class activity was aligned with the topic, a clearer understanding of assessment criteria is needed.",Developing+,"Based on our conference, this Teaching Fellow has a very conscientious approach to her development as a first year teacher.  This included setting clear and realistic development goals.",Average,2,2.333333,2.333333,3,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,
